package,version,wheel_filename,sha256,pypi_files_url,pip_command
tomli,2.4.1,tomli-2.4.1-cp312-cp312-win_amd64.whl,52c8ef851d9a240f11a88c003eacb03c31fc1c9c4ec64a99a0f922b93874fda9,https://pypi.org/project/tomli/2.4.1/#files,pip download tomli==2.4.1 --no-deps
tomlkit,0.15.0,tomlkit-0.15.0-py3-none-any.whl,4dbc8f0fc024412b57ced8757ac7461305126a648ff8c2c807fcb8e133a78738,https://pypi.org/project/tomlkit/0.15.0/#files,pip download tomlkit==0.15.0 --no-deps
toolz,1.1.0,toolz-1.1.0-py3-none-any.whl,15ccc861ac51c53696de0a5d6d4607f99c210739caf987b5d2054f3efed429d8,https://pypi.org/project/toolz/1.1.0/#files,pip download toolz==1.1.0 --no-deps
tqdm,4.67.3,tqdm-4.67.3-py3-none-any.whl,ee1e4c0e59148062281c49d80b25b67771a127c85fc9676d3be5f243206826bf,https://pypi.org/project/tqdm/4.67.3/#files,pip download tqdm==4.67.3 --no-deps
typing_extensions,4.15.0,typing_extensions-4.15.0-py3-none-any.whl,f0fa19c6845758ab08074a0cfa8b7aecb71c999ca73d62883bc25cc018c4e548,https://pypi.org/project/typing-extensions/4.15.0/#files,pip download typing-extensions==4.15.0 --no-deps
typing_inspection,0.4.2,typing_inspection-0.4.2-py3-none-any.whl,4ed1cacbdc298c220f1bd249ed5287caa16f34d44ef4e9c3d0cbad5b521545e7,https://pypi.org/project/typing-inspection/0.4.2/#files,pip download typing-inspection==0.4.2 --no-deps
urllib3,2.7.0,urllib3-2.7.0-py3-none-any.whl,9fb4c81ebbb1ce9531cce37674bbc6f1360472bc18ca9a553ede278ef7276897,https://pypi.org/project/urllib3/2.7.0/#files,pip download urllib3==2.7.0 --no-deps
websockets,16.0,websockets-16.0-cp312-cp312-win_amd64.whl,5569417dc80977fc8c2d43a86f78e0a5a22fee17565d78621b6bb264a115d4ea,https://pypi.org/project/websockets/16.0/#files,pip download websockets==16.0 --no-deps
werkzeug,3.1.8,werkzeug-3.1.8-py3-none-any.whl,63a77fb8892bf28ebc3178683445222aa500e48ebad5ec77b0ad80f8726b1f50,https://pypi.org/project/werkzeug/3.1.8/#files,pip download werkzeug==3.1.8 --no-deps
wrapt,2.2.0,wrapt-2.2.0-cp312-cp312-win_amd64.whl,199abadf7dcceab4bdc5bfe356275a56b1cb429296e283da2fe90c20b09f8d07,https://pypi.org/project/wrapt/2.2.0/#files,pip download wrapt==2.2.0 --no-deps
wsproto,1.3.2,wsproto-1.3.2-py3-none-any.whl,61eea322cdf56e8cc904bd3ad7573359a242ba65688716b0710a5eb12beab584,https://pypi.org/project/wsproto/1.3.2/#files,pip download wsproto==1.3.2 --no-deps
yarl,1.24.2,yarl-1.24.2-cp312-cp312-win_amd64.whl,7dafe10c12ddd4d120d528c4b5599c953bd7b12845347d507b95451195bb6cad,https://pypi.org/project/yarl/1.24.2/#files,pip download yarl==1.24.2 --no-deps
