body_length,observation_count,cap_degree,unique_permutations,budget,seed,sampled_permutations,sampled_min,sampled_max,sampled_range,sampled_exact_min,sampled_exact_max,sampled_exact_range,true_exhaustive_range,true_exhaustive_exact_range,absolute_error,exact_absolute_error,relative_error,sampled_extrema_matched_exact_extrema,exact_rational_arithmetic_used
8,4,4,495,8,101,8,44592265.2,58044680.4,13452415.2,222961326/5,290223402/5,67262076/5,27901305.6,139506528/5,14448890.4,72244452/5,0.517857142857,False,True
8,4,4,495,16,17,16,39111651.6,57795561.6,18683910.0,195558258/5,288977808/5,18683910,27901305.6,139506528/5,9217395.6,46086978/5,0.330357142857,False,True
8,4,4,495,16,29,16,37367820.0,56300848.8,18933028.8,37367820,281504244/5,94665144/5,27901305.6,139506528/5,8968276.8,44841384/5,0.321428571429,False,True
8,4,4,495,16,43,16,40606364.4,58293799.2,17687434.8,203031822/5,291468996/5,88437174/5,27901305.6,139506528/5,10213870.8,51069354/5,0.366071428571,False,True
8,4,4,495,16,71,16,40108126.8,58044680.4,17936553.6,200540634/5,290223402/5,89682768/5,27901305.6,139506528/5,9964752.0,9964752,0.357142857143,False,True
8,4,4,495,16,101,16,39111651.6,58044680.4,18933028.8,195558258/5,290223402/5,94665144/5,27901305.6,139506528/5,8968276.8,44841384/5,0.321428571429,False,True
8,4,4,495,32,17,32,36620463.6,57795561.6,21175098.0,183102318/5,288977808/5,21175098,27901305.6,139506528/5,6726207.6,33631038/5,0.241071428571,False,True
8,4,4,495,32,29,32,37367820.0,57546442.8,20178622.8,37367820,287732214/5,100893114/5,27901305.6,139506528/5,7722682.8,38613414/5,0.276785714286,False,True
8,4,4,495,32,43,32,35623988.4,58293799.2,22669810.8,178119942/5,291468996/5,113349054/5,27901305.6,139506528/5,5231494.8,26157474/5,0.1875,False,True
8,4,4,495,32,71,32,37367820.0,58044680.4,20676860.4,37367820,290223402/5,103384302/5,27901305.6,139506528/5,7224445.2,36122226/5,0.258928571429,False,True
8,4,4,495,32,101,32,38364295.2,58293799.2,19929504.0,191821476/5,291468996/5,19929504,27901305.6,139506528/5,7971801.6,39859008/5,0.285714285714,False,True
8,4,4,495,64,17,64,32136325.2,58293799.2,26157474.0,160681626/5,291468996/5,26157474,27901305.6,139506528/5,1743831.6,8719158/5,0.0625,False,True
8,4,4,495,64,29,64,33631038.0,57546442.8,23915404.8,33631038,287732214/5,119577024/5,27901305.6,139506528/5,3985900.8,19929504/5,0.142857142857,False,True
8,4,4,495,64,43,64,34876632.0,58293799.2,23417167.2,34876632,291468996/5,117085836/5,27901305.6,139506528/5,4484138.4,22420692/5,0.160714285714,False,True
