body_length,observation_count,cap_degree,unique_permutations,exhaustive_feasible,exact_rational_arithmetic_used,exhaustive_min,exhaustive_max,exhaustive_range,exhaustive_exact_min,exhaustive_exact_max,exhaustive_exact_range,sampled_permutations,sampled_min,sampled_max,sampled_range,sampled_exact_min,sampled_exact_max,sampled_exact_range,mismatch_if_both_available
4,2,3,15,True,True,30762.6,38550.6,7788.0,153813/5,192753/5,7788,15,30762.6,38550.6,7788.0,153813/5,192753/5,7788,False
4,2,4,15,True,True,972098.16,1218198.96,246100.8,24302454/25,30454974/25,1230504/5,15,972098.16,1218198.96,246100.8,24302454/25,30454974/25,1230504/5,False
4,2,5,15,True,True,34898323.944,43733342.664,8835018.72,4362290493/125,5466667833/125,220875468/25,15,34898323.944,43733342.664,8835018.72,4362290493/125,5466667833/125,220875468/25,False
4,3,1,35,True,True,47.4,65.4,18.0,237/5,327/5,18,35,47.4,65.4,18.0,237/5,327/5,18,False
4,3,2,35,True,True,1308.24,1805.04,496.8,32706/25,45126/25,2484/5,35,1308.24,1805.04,496.8,32706/25,45126/25,2484/5,False
4,3,3,35,True,True,42517.8,58663.8,16146.0,212589/5,293319/5,16146,35,42517.8,58663.8,16146.0,212589/5,293319/5,16146,False
4,3,4,35,True,True,1598669.28,2205758.88,607089.6,39966732/25,55143972/25,3035448/5,35,1598669.28,2205758.88,607089.6,39966732/25,55143972/25,3035448/5,False
4,3,5,35,True,True,68582912.112,94627055.952,26044143.84,8572864014/125,11828381994/125,651103596/25,35,68582912.112,94627055.952,26044143.84,8572864014/125,11828381994/125,651103596/25,False
4,4,1,70,True,True,47.4,71.4,24.0,237/5,357/5,24,70,47.4,71.4,24.0,237/5,357/5,24,False
4,4,2,70,True,True,1497.84,2256.24,758.4,37446/25,56406/25,3792/5,70,1497.84,2256.24,758.4,37446/25,56406/25,3792/5,False
4,4,3,70,True,True,56169.0,84609.0,28440.0,56169,84609,28440,70,56169.0,84609.0,28440.0,56169,84609,28440,False
4,4,4,70,True,True,2448968.4,3688952.4,1239984.0,12244842/5,18444762/5,1239984,70,2448968.4,3688952.4,1239984.0,12244842/5,18444762/5,1239984,False
4,4,5,70,True,True,122203523.16,184078724.76,61875201.6,3055088079/25,4601968119/25,309376008/5,70,122203523.16,184078724.76,61875201.6,3055088079/25,4601968119/25,309376008/5,False
4,5,1,126,True,True,47.4,77.4,30.0,237/5,387/5,30,126,47.4,77.4,30.0,237/5,387/5,30,False
4,5,2,126,True,True,1687.44,2755.44,1068.0,42186/25,68886/25,1068,126,1687.44,2755.44,1068.0,42186/25,68886/25,1068,False
4,5,3,126,True,True,71716.2,117106.2,45390.0,358581/5,585531/5,45390,126,71716.2,117106.2,45390.0,358581/5,585531/5,45390,False
4,5,4,126,True,True,3557123.52,5808467.52,2251344.0,88928088/25,145211688/25,2251344,126,3557123.52,5808467.52,2251344.0,88928088/25,145211688/25,2251344,False
4,5,5,126,True,True,202400328.288,330501801.888,128101473.6,25300041036/125,41312725236/125,640507368/5,126,202400328.288,330501801.888,128101473.6,25300041036/125,41312725236/125,640507368/5,False
5,0,1,1,True,True,63.0,63.0,0.0,63,63,0,1,63.0,63.0,0.0,63,63,0,False
5,0,2,1,True,True,1102.5,1102.5,0.0,2205/2,2205/2,0,1,1102.5,1102.5,0.0,2205/2,2205/2,0,False
5,0,3,1,True,True,21609.0,21609.0,0.0,21609,21609,0,1,21609.0,21609.0,0.0,21609,21609,0,False
5,0,4,1,True,True,473237.1,473237.1,0.0,4732371/10,4732371/10,0,1,473237.1,473237.1,0.0,4732371/10,4732371/10,0,False
5,0,5,1,True,True,11546985.24,11546985.24,0.0,288674631/25,288674631/25,0,1,11546985.24,11546985.24,0.0,288674631/25,288674631/25,0,False
5,1,1,6,True,True,63.0,73.0,10.0,63,73,10,6,63.0,73.0,10.0,63,73,10,False
5,1,2,6,True,True,1417.5,1642.5,225.0,2835/2,3285/2,225,6,1417.5,1642.5,225.0,2835/2,3285/2,225,False
5,1,3,6,True,True,36288.0,42048.0,5760.0,36288,42048,5760,6,36288.0,42048.0,5760.0,36288,42048,5760,False
5,1,4,6,True,True,1048723.2,1215187.2,166464.0,5243616/5,6075936/5,166464,6,1048723.2,1215187.2,166464.0,5243616/5,6075936/5,166464,False
5,1,5,6,True,True,33978631.68,39372065.28,5393433.6,849465792/25,984301632/25,26967168/5,6,33978631.68,39372065.28,5393433.6,849465792/25,984301632/25,26967168/5,False
5,2,1,21,True,True,63.0,83.0,20.0,63,83,20,21,63.0,83.0,20.0,63,83,20,False
5,2,2,21,True,True,1732.5,2282.5,550.0,3465/2,4565/2,550,21,1732.5,2282.5,550.0,3465/2,4565/2,550,False
5,2,3,21,True,True,54747.0,72127.0,17380.0,54747,72127,17380,21,54747.0,72127.0,17380.0,54747,72127,17380,False
5,2,4,21,True,True,1965417.3,2589359.3,623942.0,19654173/10,25893593/10,623942,21,1965417.3,2589359.3,623942.0,19654173/10,25893593/10,623942,False
5,2,5,21,True,True,79402858.92,104610115.72,25207256.8,1985071473/25,2615252893/25,126036284/5,21,79402858.92,104610115.72,25207256.8,1985071473/25,2615252893/25,126036284/5,False
5,3,1,56,True,True,63.0,93.0,30.0,63,93,30,56,63.0,93.0,30.0,63,93,30,False
5,3,2,56,True,True,2047.5,3022.5,975.0,4095/2,6045/2,975,56,2047.5,3022.5,975.0,4095/2,6045/2,975,False
5,3,3,56,True,True,76986.0,113646.0,36660.0,76986,113646,36660,56,76986.0,113646.0,36660.0,76986,113646,36660,False
5,3,4,56,True,True,3302699.4,4875413.4,1572714.0,16513497/5,24377067/5,1572714,56,3302699.4,4875413.4,1572714.0,16513497/5,24377067/5,1572714,False
