ablation,alpha_fit,beta,config,degree,entropy_increment,experiment,gamma_collapse,initial_entropy,inspects,legacy_nondecreasing,log_range,marginal_std,max,mean,min,n,nonlinearity,r2_alpha_fit,r2_e1,r2_gamma,range,schedule,sle_e1,source,std,steps
,,0.1,e4_linear_decay_beta_0p1_steps_50,,,E4,2.876384,,1,,11.997279,,463478.375,409688.6048,301165.875,100000,quadratic,,,0.99994,162312.5,linear_decay,,E4,49357.9028,50
,,0.2,e4_linear_decay_beta_0p2_steps_6,,,E4,2.853198,,1,,5.852202,,2150.64,2034.4869,1802.64,100000,quadratic,,,0.999887,348.0,linear_decay,,E4,123.0649,6
,,0.2,e4_linear_decay_beta_0p2_steps_12,,,E4,2.853198,,1,,7.784224,,9642.36,8838.7463,7239.96,100000,quadratic,,,0.999887,2402.4,linear_decay,,E4,783.8935,12
,,0.2,e4_linear_decay_beta_0p2_steps_20,,,E4,2.853198,,1,,9.236008,,33355.8,29937.5849,23095.8,100000,quadratic,,,0.999887,10260.0,linear_decay,,E4,3231.9299,20
,,0.2,e4_linear_decay_beta_0p2_steps_50,,,E4,2.853198,,1,,11.898188,,383364.0,334558.2096,236364.0,100000,quadratic,,,0.999887,147000.0,linear_decay,,E4,44775.5786,50
,,0.5,e4_linear_decay_beta_0p5_steps_6,,,E4,2.841523,,1,,5.812637,,2023.725,1911.6472,1689.225,100000,quadratic,,,0.99987,334.5,linear_decay,,E4,118.3029,6
,,0.5,e4_linear_decay_beta_0p5_steps_12,,,E4,2.841523,,1,,7.733508,,8833.38,8071.6399,6549.78,100000,quadratic,,,0.99987,2283.6,linear_decay,,E4,745.7744,12
,,0.5,e4_linear_decay_beta_0p5_steps_20,,,E4,2.841523,,1,,9.17885,,30064.5,26845.1576,20374.5,100000,quadratic,,,0.99987,9690.0,linear_decay,,E4,3047.1046,20
,,0.5,e4_linear_decay_beta_0p5_steps_50,,,E4,2.841523,,1,,11.833649,,338765.625,292779.2137,200953.125,100000,quadratic,,,0.99987,137812.5,linear_decay,,E4,42084.6251,50
,,1.0,e4_linear_decay_beta_1p0_steps_6,,,E4,2.837347,,1,,5.799093,,1980.0,1869.8814,1650.0,100000,quadratic,,,0.999863,330.0,linear_decay,,E4,116.5109,6
,,1.0,e4_linear_decay_beta_1p0_steps_12,,,E4,2.837347,,1,,7.716015,,8568.0,7822.295,6324.0,100000,quadratic,,,0.999863,2244.0,linear_decay,,E4,730.6252,12
,,1.0,e4_linear_decay_beta_1p0_steps_20,,,E4,2.837347,,1,,9.159047,,29000.0,25840.5185,19500.0,100000,quadratic,,,0.999863,9500.0,linear_decay,,E4,2984.4046,20
,,1.0,e4_linear_decay_beta_1p0_steps_50,,,E4,2.837347,,1,,11.811176,,324500.0,279552.7911,189750.0,100000,quadratic,,,0.999863,134750.0,linear_decay,,E4,41046.8304,50
,,0.0,e4_exponential_decay_beta_0p0_steps_6,,,E4,3.330216,,1,,5.950643,,2444.8,2316.9277,2060.8,100000,quadratic,,,0.998566,384.0,exponential_decay,,E4,135.6469,6
,,0.0,e4_exponential_decay_beta_0p0_steps_12,,,E4,3.330216,,1,,8.069155,,14645.84,13578.4162,11451.44,100000,quadratic,,,0.998566,3194.4,exponential_decay,,E4,1041.5506,12
,,0.0,e4_exponential_decay_beta_0p0_steps_20,,,E4,3.330216,,1,,9.746834,,74430.0,68736.1005,57330.0,100000,quadratic,,,0.998566,17100.0,exponential_decay,,E4,5382.1163,20
,,0.0,e4_exponential_decay_beta_0p0_steps_50,,,E4,3.330216,,1,,12.9968,,2517300.0,2370553.1208,2076300.0,100000,quadratic,,,0.998566,441000.0,exponential_decay,,E4,134394.8658,50
,,0.05,e4_exponential_decay_beta_0p05_steps_6,,,E4,3.059281,,1,,5.928248,,2374.4553,2249.4409,1998.9592,100000,quadratic,,,0.999871,375.4961,exponential_decay,,E4,132.4568,6
,,0.05,e4_exponential_decay_beta_0p05_steps_12,,,E4,3.059281,,1,,7.986493,,13019.266,12038.5814,10078.3018,100000,quadratic,,,0.999871,2940.9642,exponential_decay,,E4,957.4823,12
,,0.05,e4_exponential_decay_beta_0p05_steps_20,,,E4,3.059281,,1,,9.559941,,56125.2299,51394.9383,41940.2158,100000,quadratic,,,0.999871,14185.0142,exponential_decay,,E4,4462.3947,20
,,0.05,e4_exponential_decay_beta_0p05_steps_50,,,E4,3.059281,,1,,12.40659,,955165.8375,873723.308,710758.9395,100000,quadratic,,,0.999871,244406.898,exponential_decay,,E4,74565.3182,50
,,0.1,e4_exponential_decay_beta_0p1_steps_6,,,E4,2.953902,,1,,5.90974,,2317.3067,2194.6961,1948.6963,100000,quadratic,,,0.999969,368.6104,exponential_decay,,E4,129.7685,6
,,0.1,e4_exponential_decay_beta_0p1_steps_12,,,E4,2.953902,,1,,7.92669,,11940.5331,11015.7552,9170.2905,100000,quadratic,,,0.999969,2770.2426,exponential_decay,,E4,903.3977,12
,,0.1,e4_exponential_decay_beta_0p1_steps_20,,,E4,2.953902,,1,,9.443369,,46879.2914,42657.027,34255.1141,100000,quadratic,,,0.999969,12624.1773,exponential_decay,,E4,3989.475,20
